email,label
Win a free iPhone now! Click this link to claim your prize.,1
Congratulations! You have won $1000. Call now to receive your reward.,1
URGENT: Your account has been selected for a cash bonus. Claim today.,1
Limited time offer! Buy now and get 90 percent discount.,1
You are the lucky winner of a free vacation. Click here.,1
Earn money from home with no experience required. Apply now.,1
Free gift card waiting for you. Verify your details immediately.,1
Exclusive deal! You have been chosen for a special reward.,1
Claim your prize before it expires. Send your information now.,1
You have won a lottery. Contact us to collect your money.,1
Get cheap loans instantly. Apply today and receive cash.,1
Special promotion: buy one get five free. Click now.,1
Your reward is ready. Confirm your account to receive it.,1
Congratulations winner! Click the link to claim your free gift.,1
Act now to unlock your bonus cash. Offer ends today.,1
You have been selected for a premium membership for free.,1
Free coupons available now. Click to download.,1
Make thousands from home. No investment needed. Register now.,1
Your account won a special prize. Verify immediately.,1
Lowest price guaranteed. Buy now and save big.,1
"Hi team, please find the meeting agenda attached for tomorrow.",0
Can we move our project meeting to 3 PM today?,0
Please review the attached report and share your feedback.,0
Your appointment is confirmed for Monday at 10 AM.,0
Thanks for your help with the project. I appreciate it.,0
The training session will start at 9 AM in the conference room.,0
Please submit your assignment before Friday evening.,0
I have attached the monthly sales report for your review.,0
Let's discuss the deployment plan during tomorrow's call.,0
Your order has been shipped and will arrive tomorrow.,0
Reminder: your electricity bill is due on the 20th.,0
The interview has been scheduled for Wednesday afternoon.,0
Please find the meeting minutes attached.,0
Could you send me the updated attendance sheet?,0
The class will continue from 10 AM tomorrow.,0
Thank you for registering for the workshop.,0
Please confirm whether you can attend the event.,0
The server maintenance is scheduled for tonight.,0
I will share the presentation after making the final changes.,0
Your ticket has been created successfully. We will respond soon.,0
